Sentence,BIO Tags
"Dogs began diversifying in the Victorian era, when humans took control of their natural selection",B-ANIMAL O O O O O O O O O O O O O O
"They will not tolerate wolves as competitors within their territories, and the tigers could be considering dogs in the same way",O O O O O O O O O O O O O O O O B-ANIMAL O O O O
"In China, Korea, and Japan, dogs are viewed as kind protectors",O O O O O B-ANIMAL O O O O O
"For centuries, the practice was prevalent in Southeast Asia, East Asia, Africa, and Oceania before cultural changes triggered by the spread of religions resulted in dog meat consumption declining and becoming more taboo",O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O
"Dogs perform many roles for people, such as hunting, herding, pulling loads, protection, assisting police and the military, companionship, and aiding disabled individuals",B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O
"An analysis of the domestic cat genome revealed that the ancestral wildcat genome was significantly altered in the process of domestication, as specific mutations were selected to develop cat breeds",O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O
"This response is also produced by other plants, such as silver vine (Actinidia polygama) and the herb valerian; it may be caused by the smell of these plants mimicking a pheromone and stimulating cats' social or sexual behaviors",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O
"Smell Cats have an acute sense of smell, due in part to their well-developed olfactory bulb and a large surface of olfactory mucosa, about 5.8 cm2 (0.90 in2) in area, which is about twice that of humans",O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The domestic cat and its closest wild ancestor are diploid and both possess 38 chromosomes and roughly 20,000 genes",O O B-ANIMAL O O O O O O O O O O O O O O O O
"Feral cats can live in forests, grasslands, tundra, coastal areas, agricultural land, scrublands, urban areas, and wetlands",O B-ANIMAL O O O O O O O O O O O O O O O
"Asian elephants are potentially less vulnerable to the ivory trade, as females usually lack tusks",O B-ANIMAL O O O O O O O O O O O O O
"Asian elephants have some patches of depigmentation, particularly on the head",O B-ANIMAL O O O O O O O O O
Chili pepper products as well as guarding with defense tools have been found to be effective in preventing crop-raiding by elephants,O O O O O O O O O O O O O O O O O O O O B-ANIMAL
"Teeth Elephants usually have 26 teeth: the incisors, known as the tusks; 12 deciduous premolars; and 12 molars",O B-ANIMAL O O O O O O O O O O O O O O O O
Several cultural references emphasise the elephant's size and strangeness,O O O O O B-ANIMAL O O O
The first source is based on palaeological and archaeological discoveries; the second source is a comparison of DNA obtained from modern horses to that from bones and teeth of ancient horse remains,O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O B-ANIMAL O
Therapeutic use People of all ages with physical and mental disabilities obtain beneficial results from an association with horses,O O O O O O O O O O O O O O O O O O B-ANIMAL
"Similarly, the Sorraia of Portugal was proposed as a direct descendant of the Tarpan on the basis of shared characteristics, but genetic studies have shown that the Sorraia is more closely related to other horse breeds, and that the outward similarity is an unreliable measure of relatedness",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O
"Horses are lateral-eyed, meaning that their eyes are positioned on the sides of their heads",B-ANIMAL O O O O O O O O O O O O O O
"Ancient horse genomes indicate that these populations influenced almost all local populations as they expanded rapidly throughout Eurasia, beginning about 4,200 years ago",O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O
The cud is then swallowed again and further digested by the micro-organisms in the cow's stomach,O O O O O O O O O O O O O O B-ANIMAL O
"British Hereford cows, for example, weigh 600–800 kg (1,300–1,800 lb), while the bulls weigh 1,000–1,200 kg (2,200–2,600 lb)",O O B-ANIMAL O O O O O O O O O O O O O O O
"In 2023, the 27 European Union countries produced 143 million tons of cow's milk; the United States 104.1 million tons; and India 99.5 million tons",O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O
Sleep The average sleep time of a domestic cow is about 4 hours a day,O O O O O O O O B-ANIMAL O O O O O O
"Beef cattle go to slaughter at around 18 months, and dairy cows at about five years",O O O O O O O O O O O B-ANIMAL O O O O
"In contrast, other nations are virtually devoid of sheep predators, particularly islands known for extensive sheep husbandry",O O O O O O O O B-ANIMAL O O O O O O B-ANIMAL O
"They are ingested during grazing, incubate within the sheep, and are expelled through the digestive system (beginning the cycle again)",O O O O O O O O B-ANIMAL O O O O O O O O O O O
"However, colored sheep do appear in many modern breeds, and may even appear as a recessive trait in white flocks",O O B-ANIMAL O O O O O O O O O O O O O O O O O
"Perhaps the most unusual dish of sheep meat is the Scottish haggis, composed of various sheep innards cooked along with oatmeal and chopped onions inside its stomach",O O O O O O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O O O O O O O
"These countries eat 14–40 lbs (3–18 kg) of sheep meat per capita, per annum",O O O O O O O O B-ANIMAL O O O O O
"Chattanooga, TN and Spartanburg, SC have used goats to control kudzu, an invasive plant species prevalent in the southeastern United States",O O O O O O O B-ANIMAL O O O O O O O O O O O O O
The goat is one of the 12-year cycle of animals which appear in the Chinese zodiac,O B-ANIMAL O O O O O O O O O O O O O O
History Goats are among the earliest animals to have been domesticated by humans,O B-ANIMAL O O O O O O O O O O O
"Knut's Day, January 13—involves young men dressed as goats (Finnish: Nuuttipukki) who visit houses",O O O O O O O O B-ANIMAL O O O O O
"Dutch/Frisian/Icelandic/Norwegian geit, German Geiß, and Gothic gaits), ultimately from Proto-Indo-European *ǵʰaidos meaning ""young goat"" (cf",O O O O O O O O O O O O O B-ANIMAL O
Injured lions also begin to lose their manes,O B-ANIMAL O O O O O O
Female and male lions associate only when mating,O O O B-ANIMAL O O O O
"Estimates for the divergence time of the modern and cave lion lineages range from 529,000 to 392,000 years ago based on mutation rate per generation time of the modern lion",O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O B-ANIMAL
"640 BC, known as the Lion Hunt of Ashurbanipal",O O O O O B-ANIMAL O O O
Cheetahs often lose their kills to lions or other predators,O O O O O O B-ANIMAL O O O
"Tigers will move their ears around to display the white spots, particularly during aggressive encounters and between mothers and cubs",B-ANIMAL O O O O O O O O O O O O O O O O O O O
The Thailand Tiger Action Plan ratified in 2010 envisioned increasing the country's tiger populations by 50% in the Western Forest Complex and Dong Phayayen–Khao Yai Forest Complex and reestablish populations in three potential landscapes until 2022,O O B-ANIMAL O O O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O
"In both Chinese and Korean culture, tigers are seen as protectors against evil spirits and their image was used to decorate homes, tombs and articles of clothing",O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O
"Evolution The tiger shares the genus Panthera with the lion, leopard, jaguar and snow leopard",O O B-ANIMAL O O O O O O O O O O O O
"Middle- to late-Pleistocene tiger fossils have been found throughout China, Sumatra and Java",O O O B-ANIMAL O O O O O O O O O
"Bears however have a single type of melanin and the hairs have a single color throughout their length, apart from the tip which is sometimes a different shade",B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O
"The Old English name Beowulf is a kenning, ""bee-wolf"", for bear, in turn meaning a brave warrior",O O O O O O O O O O B-ANIMAL O O O O O O
"In poorer rural regions, attitudes may be more shaped by the dangers posed by bears, and the economic costs they cause to farmers and ranchers",O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O
"By contrast, polar bears have few parasites; many parasitic species need a secondary, usually terrestrial, host, and the polar bear's life style is such that few alternative hosts exist in their environment",O O O B-ANIMAL O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O O O O O O
Predatory behavior in bears is typically taught to the young by the mother,O O O B-ANIMAL O O O O O O O O O
"The age of first breeding in wolves depends largely on environmental factors: when food is plentiful, or when wolf populations are heavily managed, wolves can rear pups at younger ages to better exploit abundant resources",O O O O O O B-ANIMAL O O O O O O O O O O O B-ANIMAL O O O O B-ANIMAL O O O O O O O O O O O
"Despite these threats, the IUCN classifies the wolf as Least Concern on its Red List due to its relatively widespread range and stable population",O O O O O O O B-ANIMAL O O O O O O O O O O O O O O O O
"Status and conservation The global wild wolf population in 2003 was estimated at 300,000",O O O O O O B-ANIMAL O O O O O O O
"Wolf packs travel constantly in search of prey, covering roughly 9% of their territory per day, on average 25 km/d (16 mi/d)",B-ANIMAL O O O O O O O O O O O O O O O O O O O O O
"In China, the wolf was traditionally associated with greed and cruelty and wolf epithets were used to describe negative behaviours such as cruelty (""wolf's heart""), mistrust (""wolf's look"") and lechery (""wolf-sex"")",O O O B-ANIMAL O O O O O O O O B-ANIMAL O O O O O O O O O O B-ANIMAL O O B-ANIMAL O O O O
"Foxes have been introduced in numerous locations, with varying effects on indigenous flora and fauna",B-ANIMAL O O O O O O O O O O O O O O
"Dentition A fox's dentition, like all other canids, is I 3/3, C 1/1, PM 4/4, M 3/2 = 42",O O B-ANIMAL O O O O O O O O O O O O O O O O
Sexual characteristics The male fox's scrotum is held up close to the body with the testes inside even after they descend,O O O O B-ANIMAL O O O O O O O O O O O O O O O O
"Unlike most members of the family Canidae, foxes have partially retractable claws",O O O O O O O B-ANIMAL O O O O
Most species of fox consume around 1 kg (2.2 lb) of food every day,O O O B-ANIMAL O O O O O O O O O O
"Deer are widely distributed, with indigenous representatives in all continents except Antarctica and Australia, though Africa has only one native deer, the Barbary stag, a subspecies of red deer that is confined to the Atlas Mountains in the northwest of the continent",B-ANIMAL O O O O O O O O O O O O O O O O O O O B-ANIMAL O O O O O O O B-ANIMAL O O O O O O O O O O O O O
"Present-day fallow deer populations in Europe are a result of historic man-made introductions of this species, first to the Mediterranean regions of Europe, then eventually to the rest of Europe",O O B-ANIMAL O O O O O O O O O O O O O O O O O O O O O O O O O O O
